,time_(s),rew_action_rate,rew_balance,rew_forward_progress,rew_height,rew_motor_effort,rew_smoothness,rew_stability,rew_termination,rew_total,rew_success,x,y,z,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,global_linear_x,global_linear_y,global_linear_z,global_angular_x,global_angular_y,global_angular_z,front_left,front_right,rear_left,rear_right,position_FL_hip_joint,position_FL_thigh_joint,position_FL_calf_joint,position_FR_hip_joint,position_FR_thigh_joint,position_FR_calf_joint,position_RL_hip_joint,position_RL_thigh_joint,position_RL_calf_joint,position_RR_hip_joint,position_RR_thigh_joint,position_RR_calf_joint,torque_FL_hip_joint,torque_FL_thigh_joint,torque_FL_calf_joint,torque_FR_hip_joint,torque_FR_thigh_joint,torque_FR_calf_joint,torque_RL_hip_joint,torque_RL_thigh_joint,torque_RL_calf_joint,torque_RR_hip_joint,torque_RR_thigh_joint,torque_RR_calf_joint,out_of_limits,rollout
0,0.0,0.0,0.2,0.02,0.03,-0.0,-0.16,0.3,0.0,0.39,1.0,7.49,12.54,1.14,0.57,0.22,-0.02,-0.07,-0.3,-0.55,-0.02,0.31,-0.55,-0.02,0.31,-0.55,0.0,0.0,0.0,0.0,8.6,31.9,-104.8,-5.5,33.3,-62.3,5.9,52.5,-72.7,-8.5,71.1,-72.0,-1.2,3.8,0.8,-0.4,2.0,0.1,0.6,-0.5,-0.9,1.4,-4.3,-3.5,0,0
2,0.04,-0.0,0.59,0.07,0.1,-0.0,-0.29,0.9,0.0,1.37,3.0,7.47,12.53,1.13,0.56,0.24,-0.4,-0.66,0.06,-0.51,0.65,0.11,-0.52,0.65,0.11,-0.52,0.0,0.0,0.0,0.0,6.8,41.4,-91.1,-4.7,42.0,-79.0,5.8,55.1,-81.5,-6.9,62.1,-81.9,0.4,0.1,-0.6,0.7,-0.7,-2.9,-0.4,-1.9,0.3,1.3,-0.4,-1.5,0,0
4,0.08,-0.0,0.99,0.11,0.16,-0.0,-0.44,1.49,0.0,2.31,5.0,7.45,12.51,1.11,0.53,0.27,-0.78,-0.11,0.59,-0.47,0.23,-0.53,-0.49,0.23,-0.53,-0.49,0.0,0.0,0.0,0.0,6.5,49.2,-90.4,-3.4,48.6,-109.3,4.6,51.2,-82.8,-0.6,54.3,-90.6,1.9,-2.3,-0.9,2.7,-6.5,-1.9,-3.5,-3.1,-1.4,-3.7,3.4,-0.2,0,0
6,0.12,-0.0,1.38,0.15,0.22,-0.0,-0.61,2.38,0.0,3.52,7.0,7.43,12.5,1.07,0.55,0.27,-1.08,-0.18,0.95,-0.15,0.37,-0.89,-0.19,0.37,-0.89,-0.19,0.0,0.0,114.2,0.0,9.6,48.3,-94.1,-0.9,36.4,-145.3,1.5,51.3,-88.4,0.8,53.4,-95.1,-2.8,4.4,0.1,2.0,5.5,-1.5,3.6,-8.3,13.5,3.8,1.2,0.4,0,0
8,0.16,-0.0,1.77,0.21,0.27,-0.0,-0.85,3.55,0.0,4.95,9.0,7.41,12.49,1.02,0.68,0.12,-1.1,4.0,3.25,0.33,-3.26,-4.0,-0.02,-3.26,-4.0,-0.02,0.0,0.0,51.1,19.0,5.6,49.5,-97.6,3.0,34.1,-156.0,11.0,46.4,-74.1,6.6,56.5,-99.1,2.7,0.3,-0.9,0.7,6.5,-17.2,-3.9,-2.3,9.6,-4.7,-4.6,4.5,1,0
10,0.2,-0.0,2.15,0.27,0.3,-0.0,-1.01,4.69,0.0,6.4,11.0,7.39,12.48,0.97,0.9,-0.1,-1.31,5.03,5.0,-0.89,-3.66,-6.01,-1.23,-3.66,-6.01,-1.23,0.0,0.0,17.4,56.8,8.1,49.2,-99.4,10.6,41.8,-156.0,7.3,33.0,-48.0,8.7,63.8,-103.8,4.9,-2.6,2.2,-1.4,-2.7,-18.1,-7.5,-5.6,0.8,-4.4,-9.1,1.6,2,0
12,0.24,-0.0,2.52,0.36,0.33,-0.0,-1.26,5.77,0.0,7.72,13.0,7.37,12.46,0.91,1.19,-0.22,-1.12,4.55,5.91,-1.52,-2.84,-6.93,-1.37,-2.84,-6.93,-1.37,0.0,0.0,2.5,38.1,18.2,39.0,-87.3,3.0,59.0,-150.4,-3.1,28.3,-48.0,-2.0,60.8,-95.2,-1.5,-1.1,4.7,-0.6,-19.5,17.5,-3.0,0.3,4.3,-1.2,-6.9,-2.0,1,0
14,0.28,-0.0,2.9,0.47,0.34,-0.0,-1.63,6.82,0.0,8.89,15.0,7.36,12.45,0.85,1.3,-0.06,-0.65,-5.63,2.61,-3.14,6.15,-2.21,2.39,6.15,-2.21,2.39,0.0,65.7,0.0,0.0,25.7,35.8,-81.2,-29.6,56.4,-155.0,-5.8,35.0,-48.0,-10.7,53.5,-93.8,-16.2,7.1,-8.5,13.9,-21.0,24.1,8.8,12.2,22.7,-4.4,1.4,0.9,2,0
16,0.32,-0.0,3.28,0.54,0.35,-0.0,-2.03,7.89,0.0,10.03,17.0,7.32,12.43,0.82,0.93,0.19,0.51,-10.82,-2.12,-2.58,9.39,3.58,5.23,9.39,3.58,5.23,86.1,0.0,0.0,0.0,47.2,51.0,-93.3,-16.3,38.8,-124.3,20.7,69.7,-48.0,-11.5,45.0,-87.0,-19.4,-18.5,-2.0,19.9,-14.9,-18.4,3.9,-13.3,22.8,1.9,-4.6,4.5,1,0
18,0.36,-0.0,3.65,0.61,0.35,-0.0,-2.46,8.95,0.0,11.1,19.0,7.28,12.42,0.82,0.89,-0.15,0.94,0.09,-2.06,-0.82,-0.34,2.19,0.17,-0.34,2.19,0.17,129.0,0.0,0.0,88.1,60.0,42.9,-80.2,0.6,27.9,-156.0,44.3,58.5,-48.0,-4.0,27.3,-75.7,-16.7,-18.0,8.7,19.2,13.3,-13.4,4.2,-15.9,22.8,16.8,5.1,0.6,3,0
20,0.4,-0.0,4.02,0.7,0.36,-0.0,-2.8,10.0,0.0,12.27,21.0,7.23,12.41,0.83,1.08,-0.14,0.81,-0.02,-2.51,-0.11,-0.75,2.19,0.97,-0.75,2.19,0.97,0.0,0.0,89.5,61.6,58.6,27.1,-48.0,27.3,60.9,-156.0,51.8,32.5,-48.0,3.4,43.3,-92.2,-14.6,-5.8,8.0,-3.2,4.5,-19.7,-5.3,-20.3,20.1,18.9,-7.0,-3.1,4,0
22,0.44,-0.0,4.39,0.78,0.36,-0.0,-3.16,11.06,0.0,13.44,23.0,7.18,12.39,0.83,1.03,0.16,0.38,2.95,0.85,2.21,-3.09,-2.18,-0.03,-3.09,-2.18,-0.03,0.0,0.0,69.6,0.0,52.7,7.0,-55.9,29.4,95.5,-156.0,58.2,18.2,-58.7,11.6,50.4,-127.5,6.6,7.4,-7.8,0.7,-2.7,-19.7,-18.6,-17.4,-20.7,-5.3,4.8,-3.2,2,0
24,0.48,-0.0,4.77,0.89,0.37,-0.0,-3.56,12.15,0.0,14.61,25.0,7.14,12.37,0.82,1.53,0.24,0.33,8.86,-0.33,-0.46,-7.19,-1.1,-5.1,-7.19,-1.1,-5.1,0.0,71.6,8.0,0.0,55.1,17.6,-91.6,11.8,87.9,-155.4,43.7,12.8,-97.7,3.6,63.8,-145.5,-12.9,18.6,-2.4,4.3,-16.7,8.0,-2.8,22.9,12.1,-2.9,3.5,13.2,2,0
26,0.52,-0.0,5.14,1.02,0.35,-0.0,-4.03,13.26,0.0,15.75,27.0,7.07,12.35,0.79,1.67,0.33,0.34,2.22,-3.52,-1.99,-1.54,3.36,-2.76,-1.54,3.36,-2.76,0.0,73.0,0.0,0.0,34.6,78.2,-125.0,-9.9,67.0,-138.0,29.2,63.3,-65.0,-20.0,82.2,-109.9,-17.4,-14.9,0.9,18.7,-22.1,23.3,-14.7,-3.9,18.7,-7.6,-11.2,11.6,0,0
28,0.56,-0.0,5.51,1.15,0.31,-0.0,-4.6,14.39,0.0,16.76,29.0,7.01,12.33,0.79,1.62,0.16,0.89,-4.43,-3.27,-0.37,3.75,3.73,1.56,3.75,3.73,1.56,109.8,0.0,0.0,0.0,13.1,75.3,-123.2,-5.3,48.3,-97.1,1.2,106.7,-48.0,-40.7,68.5,-59.4,-18.1,-15.1,22.2,19.9,-7.6,-13.6,13.8,-17.2,22.8,-3.0,-2.5,14.6,1,0
30,0.6,-0.0,5.88,1.29,0.31,-0.0,-5.0,15.44,0.0,17.92,31.0,6.93,12.31,0.81,1.76,0.15,0.89,-5.02,-2.56,-0.91,4.65,3.21,0.81,4.65,3.21,0.81,22.9,0.0,0.0,0.0,7.6,44.3,-79.8,22.9,42.0,-115.4,38.5,80.6,-48.0,-50.4,51.4,-48.0,-5.8,1.0,18.4,7.4,16.6,-17.1,-2.2,-17.4,22.8,21.4,-7.1,1.5,2,0
32,0.64,-0.0,6.24,1.44,0.31,-0.0,-5.55,16.55,0.0,18.98,33.0,6.86,12.28,0.82,1.84,0.23,0.44,-0.12,-0.89,1.2,-0.13,0.31,1.46,-0.13,0.31,1.46,0.0,0.0,56.1,44.5,3.9,28.2,-48.0,51.8,83.9,-156.0,53.8,58.3,-48.0,-17.6,48.4,-70.9,3.5,-8.0,21.9,-5.8,8.9,-9.4,-6.1,-21.1,22.8,19.2,3.1,-16.6,3,0
34,0.68,-0.0,6.6,1.56,0.32,-0.0,-5.84,17.65,0.0,20.29,35.0,6.8,12.26,0.82,1.52,0.12,0.23,2.36,4.16,1.95,-1.55,-4.91,-0.42,-1.55,-4.91,-0.42,0.0,0.0,14.0,39.0,8.4,0.5,-49.3,31.7,134.9,-156.0,60.0,28.0,-50.1,-8.9,57.4,-114.1,18.9,1.8,-3.3,7.4,-14.1,-19.7,-7.0,-14.7,-17.0,8.0,6.7,-6.1,4,0
36,0.72,-0.0,6.97,1.71,0.32,-0.0,-6.28,18.73,0.0,21.45,37.0,6.73,12.24,0.8,1.92,0.18,0.41,4.07,3.87,1.43,-2.94,-4.69,-1.71,-2.94,-4.69,-1.71,0.0,0.0,0.0,45.8,47.1,-7.7,-81.4,12.9,111.8,-156.0,53.3,-5.7,-72.3,3.2,53.6,-143.5,-6.5,19.9,-0.6,-5.2,-6.4,-19.7,5.9,19.2,3.6,0.9,4.0,12.8,1,0
38,0.76,-0.0,7.34,1.87,0.24,-0.0,-6.75,19.82,0.0,22.51,39.0,6.65,12.21,0.77,2.18,0.33,0.6,5.93,1.79,-0.64,-4.2,-2.27,-4.0,-4.2,-2.27,-4.0,0.0,0.0,0.0,49.1,51.7,56.8,-116.7,-7.8,61.3,-150.1,48.4,12.5,-65.6,-8.9,65.7,-140.8,-13.5,-8.9,-9.2,12.5,-11.3,23.8,-17.1,20.6,20.8,-3.5,1.0,16.1,0,0
