,prompt_tokens,completion_tokens,thinking_tokens,answer_tokens,total_tokens,execution,fitness_score_max,fitness_score_mean,fitness_score_min,episode_length,reward_total_max,reward_total_mean,reward_total_min,num_reward_functions,reward_names,iteration,version
0,2730,4608,4233,375,7338,1,51.446,48.04246666666667,12.708,150.912,-3.933,-26.98426666666667,-40.696,6,"['action smoothness', 'base velocity', 'foot velocity', 'height', 'orientation', 'torque']",0,Qwen/Qwen3-32B-AWQ_2026-01-22_16:29:18
1,2730,9066,8365,701,11796,1,58.573,51.724000000000004,12.708,151.321,25.898,16.338666666666665,2.597,8,"['base velocity', 'contact', 'feet air time', 'height', 'joint acceleration', 'joint velocity', 'orientation', 'torque']",0,Qwen/Qwen3-32B-AWQ_2026-01-22_16:29:18
0,5076,2310,1181,1129,7386,1,57.745,50.99206666666666,12.708,151.663,21.755,7.662333333333333,-17.643,8,"['base velocity', 'contact penalty', 'feet air time', 'height', 'joint acceleration', 'joint velocity', 'orientation', 'torque']",1,Qwen/Qwen3-32B-AWQ_2026-01-22_16:29:18
1,5076,2240,1331,909,7316,1,58.783,51.47186666666667,12.708,150.743,56.728,44.56406666666666,14.836,8,"['base velocity', 'contact', 'feet air time', 'height', 'joint acceleration', 'joint velocity', 'orientation', 'torque']",1,Qwen/Qwen3-32B-AWQ_2026-01-22_16:29:18
0,5286,2479,1447,1032,7765,1,59.762,52.28506666666667,12.708,150.984,42.553,30.853599999999997,7.85,7,"['base velocity', 'contact', 'height', 'joint acceleration', 'joint velocity', 'orientation', 'torque']",2,Qwen/Qwen3-32B-AWQ_2026-01-22_16:29:18
1,5286,1520,552,968,6806,1,58.422,51.520600000000016,12.708,150.963,47.94,34.129466666666666,10.456,8,"['base velocity', 'contact', 'feet air time', 'height', 'joint acceleration', 'joint velocity', 'orientation', 'torque']",2,Qwen/Qwen3-32B-AWQ_2026-01-22_16:29:18
0,5354,3958,2675,1283,9312,1,57.177,50.72546666666667,12.708,150.485,69.85,50.33973333333334,-0.811,8,"['base velocity', 'contact', 'height', 'joint acceleration', 'joint velocity', 'orientation', 'position center', 'torque']",3,Qwen/Qwen3-32B-AWQ_2026-01-22_16:29:18
1,5354,2440,1431,1009,7794,1,54.947,49.5872,12.708,150.996,-5.446,-42.35086666666667,-97.221,7,"['base velocity', 'contact', 'height', 'joint acceleration', 'joint velocity', 'orientation', 'torque']",3,Qwen/Qwen3-32B-AWQ_2026-01-22_16:29:18
0,5667,2186,998,1188,7853,1,55.52,50.9348,12.708,150.507,102.238,75.02993333333333,8.666,8,"['base velocity', 'contact', 'height', 'joint acceleration', 'joint velocity', 'orientation', 'position center', 'torque']",4,Qwen/Qwen3-32B-AWQ_2026-01-22_16:29:18
1,5667,2066,952,1114,7733,1,57.95,50.6014,12.708,150.314,120.404,95.00186666666669,-0.385,8,"['base velocity', 'contact', 'height', 'joint acceleration', 'joint velocity', 'orientation', 'position center', 'torque']",4,Qwen/Qwen3-32B-AWQ_2026-01-22_16:29:18
